img_file,context,generated_caption,clipscore_gpt4o,context_sim
"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278.jpg",Advertising,"A group of soccer players wearing blue Olympique Lyonnais uniforms celebrate a goal on the field, with one player jumping in the air and others embracing each other near the sideline. The background shows a crowd of spectators and sports advertisements.",0.7471907883882523,0.14056998491287231
"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10.jpg",Advertising,"Two soccer players are competing for the ball on a rainy field. The player in white from Greece is falling to the ground, while the player in red, wearing number 15, is standing and watching the ball.",0.8267129212617874,0.09773978590965271
"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg",Advertising,"Two soccer players in white jerseys from RB Leipzig are involved in a match, with one player attempting to tackle another wearing a red jersey who is seated on the grass, while a referee watches the action in the background.",0.8914926648139954,0.1361628770828247
"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",American cuisine,"A dining table is set for a meal with a variety of dishes including sliced turkey, peas, mashed potatoes, a green salad, deviled eggs, and cranberry sauce, all on a plaid tablecloth. Red plastic cups and white dinner plates are arranged at each place setting.",0.8469849079847336,0.36212092638015747
Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,American cuisine,"Chefs are busy in a professional kitchen, closely collaborating as they carefully arrange food on a long row of plates, preparing multiple identical dishes. The kitchen is well-equipped, bustling with activity, and the chefs are focused on their task.",0.7675421983003616,0.306918203830719
"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",American cuisine,"A dining table is set with a large roasted turkey as the centerpiece, surrounded by floral china plates, glassware, and a flower arrangement. A person is opening a bottle of champagne, and bookshelves filled with books are in the background under a blue pendant lamp.",1.0009519755840302,0.20425501465797424
"Oberaargletscher_from_Oberaar,_2010_07.jpeg",Body of water,"A glacier flows between steep, rocky mountains under a cloudy sky, leading into a greenish, glacier-fed lake in the foreground. Snow and ice are visible on the peaks and along the glacier's path, while the dark clouds lend a dramatic atmosphere to the scene.",0.8620770275592804,0.22575339674949646
river.jpeg,Body of water,"A panoramic view showcases a lush, green valley with a winding river bordered by dense forests. In the background, cloud-covered mountains create a dramatic and tranquil landscape.",0.6653564423322678,0.18305382132530212
"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg",Body of water,"A scenic view of a large lake surrounded by mountains and greenery, with small towns nestled along the lake's edges. The sky is partly cloudy, adding depth to the landscape.",0.6532013416290283,0.2898988723754883
Dreifaltigkeitskirche_süd.jpg,Building material,"A red brick church with a tall bell tower and pointed steeple, topped with a weather vane, stands under a clear blue sky. In the foreground, there is a cemetery with various gravestones of different shapes and colors.",0.6671639531850815,0.23321332037448883
"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04.jpg",Building material,"The image shows a Serbian Orthodox church built in a traditional Byzantine style, characterized by its red and tan brick patterns, multiple domes, and gold crosses atop the domes. The church is set against a partly cloudy sky with a paved open area in the foreground.",0.8645977079868317,0.18978171050548553
1599px-Paris_Notre-Dame_East_View_02.jpeg,Building material,"The image shows the rear view of Notre-Dame Cathedral in Paris, featuring its ornate Gothic architecture and spire, surrounded by lush trees and a garden. A stone fountain with a statue stands in the foreground under a clear blue sky.",0.9380723536014557,0.09482184052467346
"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04.jpg",Christian cross,"The image shows a Serbian Orthodox church built in a traditional Byzantine style, characterized by its red and tan brick patterns, multiple domes, and gold crosses atop the domes. The church is set against a partly cloudy sky with a paved open area in the foreground.",0.8645977079868317,0.35531944036483765
1599px-Paris_Notre-Dame_East_View_02.jpeg,Christian cross,"The image shows the rear view of Notre-Dame Cathedral in Paris, featuring its ornate Gothic architecture and spire, surrounded by lush trees and a garden. A stone fountain with a statue stands in the foreground under a clear blue sky.",0.9380723536014557,0.21963289380073547
Dreifaltigkeitskirche_süd.jpg,Christian cross,"A red brick church with a tall bell tower and pointed steeple, topped with a weather vane, stands under a clear blue sky. In the foreground, there is a cemetery with various gravestones of different shapes and colors.",0.6671639531850815,0.2991529107093811
"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278.jpg",Competition,"A group of soccer players wearing blue Olympique Lyonnais uniforms celebrate a goal on the field, with one player jumping in the air and others embracing each other near the sideline. The background shows a crowd of spectators and sports advertisements.",0.7471907883882523,0.19426704943180084
"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg",Competition,"Two soccer players in white jerseys from RB Leipzig are involved in a match, with one player attempting to tackle another wearing a red jersey who is seated on the grass, while a referee watches the action in the background.",0.8914926648139954,0.18593060970306396
"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10.jpg",Competition,"Two soccer players are competing for the ball on a rainy field. The player in white from Greece is falling to the ground, while the player in red, wearing number 15, is standing and watching the ball.",0.8267129212617874,0.1168050467967987
Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3).jpg,Consumer electronics,"A group of people are sitting around a table in a classroom setting, each working on their own laptops. There is a large screen at the front of the room displaying a webpage, and various items such as water bottles are on the table.",0.6898120045661926,0.27458807826042175
